2021-06-01 23:28:13.823 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 667 ] - The following profiles are active: local
2021-06-01 23:28:14.528 - [ WARN  ] [ org.mybatis.spring.mapper.ClassPathMapperScanner : 44 ] - No MyBatis mapper was found in '[com/lucky/kali/business/mapper]' package. Please check your configuration.
2021-06-01 23:28:14.821 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Initializing ProtocolHandler ["http-nio-7002"]
2021-06-01 23:28:14.822 - [ INFO  ] [ org.apache.catalina.core.StandardService : 173 ] - Starting service [Tomcat]
2021-06-01 23:28:14.822 - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 173 ] - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-01 23:28:14.891 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring embedded WebApplicationContext
2021-06-01 23:28:15.240 - [ INFO  ] [ c.a.d.s.b.a.DruidDataSourceAutoConfigure : 56 ] - Init DruidDataSource
2021-06-01 23:28:15.493 - [ INFO  ] [ com.alibaba.druid.pool.DruidDataSource : 990 ] - {dataSource-1} inited
2021-06-01 23:28:15.812 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Starting ProtocolHandler ["http-nio-7002"]
2021-06-01 23:28:15.850 - [ INFO  ] [ c.a.cloud.nacos.registry.NacosServiceRegistry : 75 ] - nacos registry, DEFAULT_GROUP lk-business 192.168.1.47:7002 register finished
2021-06-01 23:28:15.863 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 61 ] - Started BusinessApplication in 2.618 seconds (JVM running for 3.216)
2021-06-01 23:28:24.191 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring DispatcherServlet 'dispatcherServlet'
